"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Login functionality","0","1","User can log in after correcting invalid credentials","0"
"0","","0","Shopping cart functionality","0","1","Cart page displays items that have been added from inventory","0"
"0","","0","Checkout functionality","0","1","Checkout form requires a postal code","0"
"0","","0","Shopping cart functionality","0","1","Cart page is empty when no items have been added","0"
"0","","0","Header navigation functionality","0","1","Cart icon in the header navigates to the cart page","0"
"0","","0","Shopping cart functionality","0","1","Continue shopping returns the user to the inventory page","0"
"0","","0","Inventory page functionality","0","1","User can navigate to a product detail page","0"
"0","","0","Checkout functionality","0","1","Checkout form requires a first name","0"
"0","","0","Checkout functionality","0","1","User can cancel checkout and return to the cart","0"
"0","","0","Login functionality","0","1","User cannot log in with empty password","0"
"0","","0","Checkout functionality","0","1","Checkout overview displays the correct order summary","0"
"0","","0","Header navigation functionality","0","1","Application logo is displayed in the header on the inventory page","0"
"0","","0","Inventory page functionality","0","1","User can sort products by name Z to A","0"
"0","","0","Inventory page functionality","0","1","Inventory page displays all six products","0"
"0","","0","Login functionality","0","1","Performance glitch user can log in successfully","0"
"0","","0","Inventory page functionality","0","1","Products are sorted alphabetically A to Z by default","0"
"0","","0","Login functionality","0","1","Standard user can log in successfully","0"
"0","","0","Login functionality","0","1","User cannot log in with empty username","0"
"0","","0","Inventory page functionality","0","1","Adding a product to the cart updates the cart badge","0"
"0","","0","Checkout functionality","0","1","Checkout form requires a last name","0"
"0","","0","Checkout functionality","0","1","User can complete a full checkout and receive an order confirmation","0"
"0","","0","Inventory page functionality","0","1","Removing a product from the inventory page clears the cart badge","0"
"0","","0","Login functionality","0","1","Error message is displayed when both fields are empty","0"
"0","","0","Header navigation functionality","0","1","User can open and close the burger menu","0"
"0","","0","Login functionality","0","1","Problem user can log in successfully","0"
"0","","0","Header navigation functionality","0","1","All Items link in the burger menu navigates to the inventory page","0"
"0","","0","Shopping cart functionality","0","1","User can proceed to checkout from the cart","0"
"0","","0","Header navigation functionality","0","1","User can log out via the burger menu","0"
"0","","0","Login functionality","0","1","Locked out user cannot log in","0"
"0","","0","Shopping cart functionality","0","1","User can remove an item from the cart page","0"
"0","","0","Inventory page functionality","0","1","Adding multiple products shows the correct cart badge count","0"
"0","","0","Inventory page functionality","0","1","User can sort products by price low to high","0"
"0","","0","Login functionality","0","1","Standard user lands on inventory page after login","0"
"0","","0","Inventory page functionality","0","1","User can sort products by price high to low","0"
